Flag_Type,Flag,archive,aria,blackhole,connect,csv,example,innodb,mcs,merge,myisam,myrocks,oograph,sequence,sphinx,spider
table,HA_ANY_INDEX_MAY_BE_UNIQUE,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,-
table,HA_AUTO_PART_KEY,-,yes,yes,-,-,-,-,-,yes,yes,-,-,-,-,yes
table,HA_BINLOG_FLAGS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_BINLOG_ROW_CAPABLE,yes,yes,yes,yes,yes,-,yes,yes,yes,yes,yes,yes,yes,-,yes
table,HA_BINLOG_STMT_CAPABLE,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,-,yes
table,HA_CAN_BIT_FIELD,yes,yes,-,-,-,-,-,-,yes,yes,-,-,-,-,yes
table,HA_CAN_DIRECT_UPDATE_AND_DELETE,-,-,-,-,-,-,-,yes,-,-,-,-,-,-,yes
table,HA_CAN_EXPORT,yes,yes,-,-,yes,-,yes,-,yes,yes,-,-,-,-,-
table,HA_CAN_FORCE_BULK_DELETE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes
table,HA_CAN_FORCE_BULK_UPDATE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes
table,HA_CAN_FULLTEXT_EXT,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-
table,HA_CAN_FULLTEXT,-,yes,yes,-,-,-,yes,-,-,yes,-,-,-,-,yes
table,HA_CAN_GEOMETRY,yes,yes,yes,-,-,-,yes,-,-,yes,-,-,-,-,yes
table,HA_CAN_HASH_KEYS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_CAN_INDEX_BLOBS,-,yes,yes,-,-,-,yes,-,yes,yes,yes,-,-,yes,yes
table,HA_CAN_INSERT_DELAYED,yes,yes,yes,-,-,-,-,-,-,yes,-,yes,-,-,-
table,HA_CAN_MULTISTEP_MERGE,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,-
table,HA_CAN_ONLINE_BACKUPS,-,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-
table,HA_CAN_REPAIR,yes,yes,-,-,yes,-,-,-,-,yes,-,-,-,-,-
table,HA_CAN_RTREEKEYS,-,yes,-,-,-,-,yes,-,-,yes,-,-,-,-,yes
table,HA_CAN_SKIP_LOCKED,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-
table,HA_CAN_SQL_HANDLER,-,yes,yes,-,-,-,yes,-,-,yes,-,-,-,-,yes
table,HA_CAN_TABLE_CONDITION_PUSHDOWN,-,-,-,-,-,-,-,yes,-,-,-,-,-,yes,yes
table,HA_CAN_TABLES_WITHOUT_ROLLBACK,-,yes,-,-,-,-,yes,-,-,yes,-,-,-,-,-
table,HA_CAN_VIRTUAL_COLUMNS,-,yes,-,yes,-,-,yes,-,-,yes,-,-,-,-,-
table,HA_CMP_REF_IS_EXPENSIVE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_CONCURRENT_OPTIMIZE,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-
table,HA_CRASH_SAFE,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_DUPLICATE_KEY_NOT_IN_ORDER,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
table,HA_DUPLICATE_POS,-,yes,-,-,-,-,-,-,yes,yes,-,-,-,-,-
table,HA_FAST_KEY_READ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_FILE_BASED,yes,yes,yes,yes,-,-,-,-,yes,yes,-,-,-,-,yes
table,HA_HAS_NEW_CHECKSUM,-,yes,-,-,-,-,-,-,-,yes,-,-,-,-,yes
table,HA_HAS_OLD_CHECKSUM,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,yes
table,HA_HAS_OWN_BINLOGGING,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_HAS_RECORDS,yes,yes,-,yes,-,-,-,-,yes,yes,-,-,-,-,yes
table,HA_MRR_CANT_SORT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_MUST_USE_TABLE_CONDITION_PUSHDOWN,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
table,HA_NEED_READ_RANGE_BUFFER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_NO_AUTO_INCREMENT,-,-,-,yes,yes,-,-,-,-,-,-,-,-,-,-
table,HA_NO_BLOBS,-,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
table,HA_NO_COPY_ON_ALTER,-,-,-,yes,-,-,-,-,yes,-,-,-,-,-,yes
table,HA_NON_COMPARABLE_ROWID,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_NO_PREFIX_CHAR_KEYS,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
table,HA_NOT_DELETE_WITH_CACHE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_NO_TRANSACTIONS,yes,yes,-,yes,yes,-,-,-,yes,yes,-,-,-,-,-
table,HA_NULL_IN_KEY,-,yes,yes,-,-,-,yes,-,yes,yes,yes,yes,-,-,yes
table,HA_ONLINE_ANALYZE,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-
table,HA_PARTIAL_COLUMN_READ,-,-,-,yes,-,-,yes,-,-,-,yes,-,-,-,yes
table,HA_PERSISTENT_TABLE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_PRIMARY_KEY_IN_READ_INDEX,-,-,-,-,-,-,yes,-,-,-,yes,-,-,-,-
table,HA_PRIMARY_KEY_REQUIRED_FOR_DELETE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes
table,HA_PRIMARY_KEY_REQUIRED_FOR_POSITION,-,-,-,-,-,-,yes,-,-,-,yes,-,-,-,-
table,HA_READ_BEFORE_WRITE_REMOVAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_REC_NOT_IN_SEQ,yes,yes,-,yes,yes,-,yes,-,yes,yes,yes,yes,-,-,yes
table,HA_RECORD_MUST_BE_CLEAN_ON_WRITE,-,yes,-,-,-,-,-,-,-,yes,-,-,-,-,-
table,HA_REQUIRE_PRIMARY_KEY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
table,HA_REQUIRES_KEY_COLUMNS_FOR_DELETE,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-
table,HA_REUSES_FILE_NAMES,-,-,-,yes,-,-,-,-,-,-,yes,-,-,-,-
table,HA_SLOW_CMP_REF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes
table,HA_SLOW_RND_POS,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-
table,HA_STATS_RECORDS_IS_EXACT,yes,yes,-,yes,-,-,-,-,-,yes,-,-,-,-,yes
table,HA_TABLE_SCAN_ON_INDEX,-,-,-,-,-,-,yes,yes,-,-,yes,-,-,-,-
index,HA_CLUSTERED_INDEX,-,-,-,-,-,-,yes,-,-,-,yes,-,-,-,-
index,HA_DO_INDEX_COND_PUSHDOWN,-,yes,-,-,-,-,yes,-,-,yes,yes,-,-,-,-
index,HA_DO_RANGE_FILTER_PUSHDOWN,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-
index,HA_KEYREAD_ONLY,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_KEY_SCAN_NOT_ROR,-,yes,-,yes,-,-,yes,-,-,yes,-,yes,-,-,yes
index,HA_ONLY_WHOLE_INDEX,yes,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes
index,HA_READ_AFTER_KEY,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
index,HA_READ_NEXT,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_READ_ORDER,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_READ_PREV,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_READ_RANGE,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
